Seq_ID	Species
CKS10011_20	Cyclospora cayetanensis
CKS10021_20	Cyclospora cayetanensis
CMN10071_20	Cyclospora cayetanensis
CMN10091_20	Cyclospora cayetanensis
CMN10111_20	Cyclospora cayetanensis
CMN10151_20	Cyclospora cayetanensis
CMN10161_20	Cyclospora cayetanensis
CMN10191_20	Cyclospora cayetanensis
CMN10201_20	Cyclospora cayetanensis
CMN10221_20	Cyclospora cayetanensis
CMN10231_20	Cyclospora cayetanensis
CMN10241_20	Cyclospora cayetanensis
CMN10251_20	Cyclospora cayetanensis
CMN10261_20	Cyclospora cayetanensis
CMN10281_20	Cyclospora cayetanensis
CMN10301_20	Cyclospora cayetanensis
CMN10312_20	Cyclospora cayetanensis
CMN10361_20	Cyclospora cayetanensis
CMN10371_20	Cyclospora cayetanensis
CMN10401_20	Cyclospora cayetanensis
CMN10411_20	Cyclospora cayetanensis
CMN10421_20	Cyclospora cayetanensis
CMN10431_20	Cyclospora cayetanensis
CMN10481_20	Cyclospora cayetanensis
CMN10502_20	Cyclospora cayetanensis
CMN10521_20	Cyclospora cayetanensis
CMN10551_20	Cyclospora cayetanensis
CMN10561_20	Cyclospora cayetanensis
CMN10571_20	Cyclospora cayetanensis
CMN10582_20	Cyclospora cayetanensis
CMN10611_20	Cyclospora cayetanensis
CMN10671_20	Cyclospora cayetanensis
CMN10721_20	Cyclospora cayetanensis
CMN10751_20	Cyclospora cayetanensis
CMN10761_20	Cyclospora cayetanensis
CMN10891_20	Cyclospora cayetanensis
CNE10031_20	Cyclospora cayetanensis
CNE10041_20	Cyclospora cayetanensis
CNE10061_20	Cyclospora cayetanensis
CNE10081_20	Cyclospora cayetanensis
CNE10091_20	Cyclospora cayetanensis
CNE10101_20	Cyclospora cayetanensis
CNE10131_20	Cyclospora cayetanensis
CNE10151_20	Cyclospora cayetanensis
CNE10161_20	Cyclospora cayetanensis
CNE10171_20	Cyclospora cayetanensis
CNE10181_20	Cyclospora cayetanensis
CNE10201_20	Cyclospora cayetanensis
CNE10231_20	Cyclospora cayetanensis
CNE10261_20	Cyclospora cayetanensis
CNE10281_20	Cyclospora cayetanensis
CNE10291_20	Cyclospora cayetanensis
CNE10401_20	Cyclospora cayetanensis
CNE10421_20	Cyclospora cayetanensis
CNE10441_20	Cyclospora cayetanensis
CNE10471_20	Cyclospora cayetanensis
CNE10541_20	Cyclospora cayetanensis
CWI10022_20	Cyclospora cayetanensis
CWI10032_20	Cyclospora cayetanensis
CWI10071_20	Cyclospora cayetanensis
CWI10081_20	Cyclospora cayetanensis
CWI10131_20	Cyclospora cayetanensis
CWI10161_20	Cyclospora cayetanensis
CWI10171_20	Cyclospora cayetanensis
CWI10221_20	Cyclospora cayetanensis
CWI10241_20	Cyclospora cayetanensis
CMN10591_20	Cyclospora cayetanensis
CNE10481_20	Cyclospora cayetanensis
CVA10041_20	Cyclospora cayetanensis
C_WI206_18	Cyclospora cayetanensis
CAZ10061_22	Cyclospora cayetanensis
CCA10141_22	Cyclospora cayetanensis
CCA10161_22	Cyclospora cayetanensis
CCT10031_22	Cyclospora cayetanensis
CCT10071_22	Cyclospora cayetanensis
CFL10041_21	Cyclospora cayetanensis
CFL10171_20	Cyclospora cayetanensis
CFL10191_20	Cyclospora cayetanensis
CFL10351_22	Cyclospora cayetanensis
CFL10461_22	Cyclospora cayetanensis
CFL10631_22	Cyclospora cayetanensis
CFL12261_22	Cyclospora cayetanensis
CFL12381_22	Cyclospora cayetanensis
CFL12401_22	Cyclospora cayetanensis
CFL12551_22	Cyclospora cayetanensis
CFL12671_22	Cyclospora cayetanensis
CGA10341_21	Cyclospora cayetanensis
CGA10831_22	Cyclospora cayetanensis
CGA11191_22	Cyclospora cayetanensis
CIA10631_20	Cyclospora cayetanensis
CIA10771_20	Cyclospora cayetanensis
CIL10052_20	Cyclospora cayetanensis
CIL10231_22	Cyclospora cayetanensis
CIL10241_22	Cyclospora cayetanensis
CIL10281_22	Cyclospora cayetanensis
CIL10571_20	Cyclospora cayetanensis
CIN10052_21	Cyclospora cayetanensis
CIN10071_22	Cyclospora cayetanensis
CMI10191_22	Cyclospora cayetanensis
CMI10221_22	Cyclospora cayetanensis
CMI10371_22	Cyclospora cayetanensis
CMN10601_20	Cyclospora cayetanensis
CMN10801_20	Cyclospora cayetanensis
CNE10092_21	Cyclospora cayetanensis
CNE10112_21	Cyclospora cayetanensis
CNE10142_21	Cyclospora cayetanensis
CNE10371_20	Cyclospora cayetanensis
CTX29661_17	Cyclospora cayetanensis
CUK10101_16	Cyclospora cayetanensis
ION10191_22	Cyclospora cayetanensis
ION10231_19	Cyclospora cayetanensis
ION10241_22	Cyclospora cayetanensis
IQC10031_22	Cyclospora cayetanensis
IQC10401_22	Cyclospora cayetanensis
IQC10431_22	Cyclospora cayetanensis
IQC10441_22	Cyclospora cayetanensis
S_NY046_18	Cyclospora cayetanensis
SNY10071_22	Cyclospora cayetanensis
SNY10181_22	Cyclospora cayetanensis
SNY10231_20	Cyclospora cayetanensis
SNY10232_20	Cyclospora cayetanensis
SNY10301_22	Cyclospora cayetanensis
SNY10441_22	Cyclospora cayetanensis
SNY10451_22	Cyclospora cayetanensis
SNY10471_19	Cyclospora cayetanensis
SNY10551_22	Cyclospora cayetanensis
SNY10671_22	Cyclospora cayetanensis
SNY10741_22	Cyclospora cayetanensis
SNY10781_19	Cyclospora cayetanensis
SNY10791_22	Cyclospora cayetanensis
SNY10801_22	Cyclospora cayetanensis
SNY10861_22	Cyclospora cayetanensis
SNY10871_22	Cyclospora cayetanensis
SNY10921_22	Cyclospora cayetanensis
SNY11071_22	Cyclospora cayetanensis
SNY11131_20	Cyclospora cayetanensis
SNY11251_22	Cyclospora cayetanensis
SNY11291_20	Cyclospora cayetanensis
SNY11311_20	Cyclospora cayetanensis
SNY11312_20	Cyclospora cayetanensis
SNY11341_22	Cyclospora cayetanensis
SNY11561_20	Cyclospora cayetanensis
SNY11581_22	Cyclospora cayetanensis
SNY11701_22	Cyclospora cayetanensis
SNY11711_22	Cyclospora cayetanensis
SNY11911_22	Cyclospora cayetanensis
SNY11961_22	Cyclospora cayetanensis
SNY11981_22	Cyclospora cayetanensis
SNY11991_22	Cyclospora cayetanensis
SNY12041_22	Cyclospora cayetanensis
SNY12071_22	Cyclospora cayetanensis
SNY12101_22	Cyclospora cayetanensis
SNY13511_19	Cyclospora cayetanensis
STN10061_21	Cyclospora cayetanensis
STN10071_21	Cyclospora cayetanensis
STX10011_22	Cyclospora cayetanensis
STX10091_20	Cyclospora cayetanensis
STX10131_22	Cyclospora cayetanensis
STX10141_19	Cyclospora cayetanensis
STX10841_19	Cyclospora cayetanensis
STX10871_22	Cyclospora cayetanensis
STX10901_20	Cyclospora cayetanensis
STX11071_20	Cyclospora cayetanensis
STX12051_19	Cyclospora cayetanensis
STX12201_19	Cyclospora cayetanensis
STX12221_19	Cyclospora cayetanensis
STX12241_19	Cyclospora cayetanensis
STX12571_19	Cyclospora cayetanensis
STX12581_19	Cyclospora cayetanensis
SWI10111_22	Cyclospora cayetanensis
SWI10121_22	Cyclospora cayetanensis
SWI10131_22	Cyclospora cayetanensis
C_IA065_18	Cyclospora cayetanensis
C_WI186_18	Cyclospora cayetanensis
CAZ10071_22	Cyclospora cayetanensis
CCA10261_22	Cyclospora cayetanensis
