Seq_ID	Assigned_cluster
HCWI067_18	56
HCWI068_18	56
HCWI069_18	56
HCWI070_18	56
HCWI074_18	56
HCWI075_18	56
HCWI076_18	56
HCWI078_18	56
HCWI079_18	56
HCWI080_18	56
HCWI081_18	56
HCWI082_18	56
HCWI084_18	56
HCWI085_18	56
HCWI087_18	56
HCWI090_18	56
IBC10031_22	40
IBC10041_22	17
INL10012_22	12
INL10021_22	67
INL10031_22	23
INL10041_22	67
INL10051_22	23
ION10012_22	66
ION10022_22	60
ION10031_19	4
ION10032_22	18
ION10041_21	33
ION10041_22	16
ION10051_18	7
ION10051_22	16
ION10061_21	33
ION10061_22	1
ION10072_22	1
ION10081_22	1
ION10091_22	16
ION10102_22	1
ION10111_18	34
ION10111_22	42
ION10121_18	4
ION10121_22	32
ION10131_20	47
ION10132_22	46
ION10141_22	46
ION10151_22	46
ION10161_22	47
ION10171_20	15
ION10171_22	22
ION10181_22	35
ION10191_22	5
ION10201_22	64
ION10211_22	7
ION10221_22	46
ION10231_19	5
ION10231_22	17
ION10241_22	5
ION10251_22	4
ION10261_22	8
ION10271_22	4
ION10281_22	7
ION10291_22	4
ION10421_19	1
ION10441_19	1
IQC10011_22	16
IQC10012_22	16
IQC10013_22	16
IQC10014_22	16
IQC10015_22	16
IQC10031_22	5
IQC10042_22	68
IQC10051_22	40
IQC10062_22	69
IQC10072_22	40
IQC10081_22	7
IQC10091_22	1
IQC10101_22	48
IQC10111_22	7
IQC10121_22	4
IQC10132_22	7
IQC10141_22	1
IQC10162_22	11
IQC10171_22	4
IQC10181_22	41
IQC10191_22	65
IQC10201_22	42
IQC10211_22	41
IQC10221_22	41
IQC10231_22	35
IQC10241_22	4
IQC10251_22	46
IQC10261_22	42
IQC10271_22	20
IQC10281_22	32
IQC10291_22	17
IQC10301_22	1
IQC10322_22	27
IQC10331_22	17
IQC10341_22	12
IQC10351_22	24
IQC10361_22	4
IQC10371_22	1
IQC10382_22	70
IQC10391_22	1
IQC10392_22	1
IQC10401_22	5
IQC10411_22	7
IQC10421_22	38
IQC10431_22	5
IQC10441_22	5
IQC10461_22	1
IQC10471_22	1
IQC10481_22	38
IQC10491_22	7
IQC10501_22	7
IQC10511_22	28
IQC10521_22	20
IQC10541_22	46
IQC10551_22	46
IQC10561_22	11
SMN10071_19	2
SMN10101_19	2
SMN10121_19	58
SMN10131_19	2
SMN10211_19	2
SMN10221_19	58
SMN10251_19	2
SMN10361_19	7
SNY10011_22	4
SNY10021_19	49
SNY10021_20	2
SNY10021_22	71
SNY10031_19	18
SNY10031_20	1
SNY10031_22	54
SNY10041_19	1
SNY10041_20	7
SNY10041_22	33
SNY10051_20	12
SNY10051_22	32
SNY10061_19	49
SNY10061_20	43
SNY10071_19	49
SNY10071_20	57
SNY10071_22	5
SNY10081_20	43
SNY10081_22	54
SNY10091_22	1
SNY10101_20	2
SNY10101_22	18
SNY10111_19	66
SNY10111_22	56
SNY10121_19	1
SNY10121_22	2
SNY10141_22	7
SNY10151_19	32
SNY10161_22	37
SNY10171_22	1
SNY10181_20	2
SNY10181_22	5
SNY10191_22	7
SNY10201_22	48
SNY10211_20	47
SNY10211_22	1
SNY10221_20	4
SNY10222_20	4
SNY10231_20	5
SNY10231_22	65
SNY10232_20	5
SNY10241_22	24
SNY10251_19	32
SNY10251_22	36
SNY10261_19	42
SNY10261_20	2
SNY10271_22	1
SNY10281_20	8
SNY10281_21	4
SNY10281_22	1
SNY10291_19	13
SNY10291_22	1
SNY10301_22	5
SNY10311_20	1
SNY10311_22	1
